               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.040321,            0.040123,           0.0023996,             0.88764,              0.8248,             0.88239,             0.50605,            0.039883,            0.025906,           0.0028826,            0.005446,            0.005446,            0.005446
                  71,            0.040096,            0.041686,           0.0024011,             0.89555,             0.84463,             0.89658,             0.51866,            0.040038,            0.025681,            0.002566,             0.00538,             0.00538,             0.00538
                  72,            0.038777,            0.037793,           0.0021527,             0.90091,             0.86422,             0.90898,              0.5282,            0.039314,            0.025147,           0.0020162,            0.005314,            0.005314,            0.005314
                  73,            0.039638,             0.03934,           0.0022074,             0.91621,             0.85594,             0.90251,             0.52229,            0.039586,            0.025104,           0.0018813,            0.005248,            0.005248,            0.005248
                  74,            0.039635,            0.040184,           0.0023568,              0.8952,             0.84628,             0.89274,             0.51348,            0.039642,            0.025425,           0.0027073,            0.005182,            0.005182,            0.005182
                  75,            0.039839,            0.039907,           0.0023862,             0.88535,             0.83097,             0.89508,             0.51196,            0.039909,             0.02555,           0.0022772,            0.005116,            0.005116,            0.005116
                  76,             0.03899,            0.039163,             0.00219,             0.88168,             0.83814,             0.89275,              0.5143,            0.039376,            0.025564,           0.0022039,             0.00505,             0.00505,             0.00505
                  77,            0.039342,            0.039655,           0.0024219,             0.90671,             0.84086,             0.90614,             0.53261,            0.039079,            0.025147,           0.0020667,            0.004984,            0.004984,            0.004984
                  78,            0.039353,            0.039442,           0.0022795,             0.90823,             0.84543,             0.89871,              0.5235,            0.039381,            0.025334,           0.0024232,            0.004918,            0.004918,            0.004918
                  79,            0.038621,            0.039699,           0.0021312,             0.91193,             0.85623,             0.91317,             0.52911,            0.038638,            0.025189,           0.0020707,            0.004852,            0.004852,            0.004852
                  80,            0.039298,            0.038843,           0.0020299,             0.90194,             0.84501,             0.91014,             0.52506,            0.039067,            0.025198,           0.0021876,            0.004786,            0.004786,            0.004786
                  81,            0.038051,            0.038578,           0.0023048,             0.88981,             0.84975,             0.89803,             0.52794,            0.039168,            0.025336,           0.0023693,             0.00472,             0.00472,             0.00472
                  82,            0.038186,            0.037557,           0.0020908,              0.9024,             0.86402,             0.90281,             0.51708,            0.039158,            0.025081,           0.0024943,            0.004654,            0.004654,            0.004654
                  83,            0.038881,            0.040554,           0.0023127,             0.89853,             0.85218,             0.90031,             0.52277,            0.039048,            0.025167,            0.002601,            0.004588,            0.004588,            0.004588
                  84,            0.037944,            0.038311,           0.0022532,             0.89139,             0.86083,             0.89654,             0.52029,            0.039231,            0.025004,           0.0022567,            0.004522,            0.004522,            0.004522
                  85,            0.038137,            0.037008,           0.0020917,             0.90531,             0.85197,             0.90594,             0.53069,            0.038608,             0.02497,           0.0022922,            0.004456,            0.004456,            0.004456
                  86,            0.037272,            0.037203,           0.0019378,             0.88932,             0.87072,             0.90485,             0.52727,            0.038398,            0.024979,           0.0023023,             0.00439,             0.00439,             0.00439
                  87,            0.037813,            0.038717,           0.0019447,             0.90367,             0.85368,             0.90126,             0.52749,            0.038511,            0.025002,           0.0023346,            0.004324,            0.004324,            0.004324
                  88,            0.036936,            0.037583,           0.0021288,             0.89997,             0.85709,             0.90522,             0.52483,            0.038463,            0.025257,           0.0024999,            0.004258,            0.004258,            0.004258
                  89,            0.038075,            0.038305,           0.0018916,               0.901,              0.8624,             0.90963,             0.53278,            0.038292,             0.02513,           0.0020364,            0.004192,            0.004192,            0.004192
                  90,            0.037761,            0.037468,           0.0018202,             0.91344,             0.85978,             0.91281,             0.53422,            0.038249,            0.024882,           0.0023604,            0.004126,            0.004126,            0.004126
                  91,            0.038019,            0.038725,           0.0018886,             0.91767,             0.87379,             0.91613,             0.54325,            0.037662,            0.024335,           0.0023725,             0.00406,             0.00406,             0.00406
                  92,            0.037911,            0.038732,           0.0018398,             0.90931,             0.86327,             0.91278,             0.54025,            0.038292,            0.024833,           0.0023127,            0.003994,            0.003994,            0.003994
                  93,            0.037107,            0.037814,           0.0018383,              0.9136,             0.86555,             0.91535,             0.53481,            0.037959,            0.024611,           0.0021979,            0.003928,            0.003928,            0.003928
                  94,            0.036714,             0.03691,           0.0016947,             0.89543,             0.87376,             0.90797,             0.53814,            0.037827,            0.025077,           0.0021649,            0.003862,            0.003862,            0.003862
                  95,            0.037352,            0.037073,           0.0018719,             0.90273,             0.86918,             0.91316,             0.53753,            0.038618,            0.024752,           0.0024751,            0.003796,            0.003796,            0.003796
                  96,            0.037024,            0.036767,           0.0017775,              0.9314,             0.86222,             0.91519,             0.55036,            0.037644,             0.02453,           0.0021455,             0.00373,             0.00373,             0.00373
                  97,            0.036884,            0.036141,           0.0019492,             0.92041,             0.87362,             0.91296,             0.54408,            0.037961,            0.024755,           0.0022219,            0.003664,            0.003664,            0.003664
                  98,            0.036471,            0.037528,           0.0017311,             0.91374,             0.86635,             0.90964,             0.53974,            0.038088,            0.024646,           0.0023257,            0.003598,            0.003598,            0.003598
                  99,             0.03669,             0.03603,           0.0018076,             0.90609,             0.86154,             0.90882,             0.54159,            0.037349,            0.024467,           0.0020208,            0.003532,            0.003532,            0.003532
                 100,            0.036982,            0.036948,           0.0016956,             0.91705,             0.86508,             0.90968,             0.55482,            0.037174,            0.024629,           0.0019542,            0.003466,            0.003466,            0.003466
                 101,            0.036312,            0.036642,           0.0016666,             0.89455,             0.87294,              0.9131,             0.55135,             0.03732,            0.024576,           0.0021891,              0.0034,              0.0034,              0.0034
                 102,            0.036785,            0.038473,           0.0018611,             0.91107,             0.84602,             0.90764,             0.54204,            0.037533,            0.024591,           0.0024688,            0.003334,            0.003334,            0.003334
                 103,            0.035343,            0.036038,           0.0018019,             0.89792,             0.87987,             0.91349,             0.54591,            0.037573,            0.024592,            0.002257,            0.003268,            0.003268,            0.003268
                 104,            0.036443,            0.036781,           0.0016611,             0.90827,             0.86856,             0.91732,             0.54556,            0.037626,            0.024658,           0.0019239,            0.003202,            0.003202,            0.003202
                 105,            0.036129,            0.036046,           0.0016925,             0.91388,             0.86325,             0.91295,             0.54652,            0.037959,            0.024655,           0.0022884,            0.003136,            0.003136,            0.003136
                 106,            0.035492,            0.035251,           0.0014559,             0.92622,             0.87439,             0.91988,              0.5558,            0.037342,             0.02441,           0.0019782,             0.00307,             0.00307,             0.00307
                 107,            0.035779,            0.036533,           0.0017024,             0.91095,             0.88377,             0.92508,              0.5576,             0.03695,            0.024369,           0.0017904,            0.003004,            0.003004,            0.003004
                 108,            0.035627,            0.036361,           0.0014416,             0.90692,             0.87114,             0.91639,             0.55684,            0.037035,            0.024543,           0.0017462,            0.002938,            0.002938,            0.002938
                 109,            0.035707,            0.037344,           0.0016506,             0.91238,             0.87171,             0.92053,             0.55221,            0.037047,            0.024186,           0.0020572,            0.002872,            0.002872,            0.002872
                 110,            0.034646,            0.035745,           0.0013456,             0.91339,             0.87783,             0.91665,             0.55758,            0.036824,            0.024267,           0.0019615,            0.002806,            0.002806,            0.002806
                 111,            0.035427,            0.036851,           0.0014059,             0.92562,             0.86847,             0.91757,             0.55515,            0.036989,            0.024471,           0.0019952,             0.00274,             0.00274,             0.00274
                 112,            0.036111,            0.037682,           0.0015175,              0.9043,             0.88628,              0.9136,             0.55377,             0.03698,            0.024501,           0.0020681,            0.002674,            0.002674,            0.002674
                 113,            0.035487,            0.035525,           0.0014211,             0.92719,             0.87192,             0.91732,             0.55998,            0.036994,            0.024269,           0.0020463,            0.002608,            0.002608,            0.002608
                 114,             0.03496,            0.036686,            0.001613,             0.90853,             0.87631,             0.91919,             0.55429,            0.036963,            0.024369,           0.0020871,            0.002542,            0.002542,            0.002542
                 115,            0.034919,            0.036595,           0.0014803,             0.91947,             0.86039,              0.9177,             0.55422,            0.036992,             0.02435,           0.0020221,            0.002476,            0.002476,            0.002476
                 116,            0.034052,            0.034171,           0.0014085,             0.91259,             0.86853,             0.91712,               0.558,            0.036856,            0.024353,           0.0019443,             0.00241,             0.00241,             0.00241
                 117,            0.034319,            0.033904,           0.0016055,             0.91775,             0.85921,             0.92085,              0.5567,            0.036948,            0.024261,           0.0021961,            0.002344,            0.002344,            0.002344
                 118,            0.034564,            0.035125,           0.0013655,             0.92171,             0.86269,             0.91753,             0.55877,            0.036932,            0.024382,            0.002069,            0.002278,            0.002278,            0.002278
                 119,            0.034332,            0.034872,           0.0016192,             0.92367,             0.86657,             0.92221,              0.5562,            0.037116,            0.024204,            0.001904,            0.002212,            0.002212,            0.002212
                 120,             0.03429,            0.034328,           0.0013857,             0.92515,             0.87245,             0.92267,             0.56626,            0.036664,            0.024191,           0.0017838,            0.002146,            0.002146,            0.002146
                 121,            0.034642,            0.035018,            0.001397,             0.91631,             0.87947,              0.9191,             0.56573,            0.036773,            0.024165,           0.0017111,             0.00208,             0.00208,             0.00208
                 122,            0.034321,            0.035782,           0.0014266,             0.91659,             0.87262,             0.91815,             0.56669,            0.036513,            0.024129,           0.0016692,            0.002014,            0.002014,            0.002014
                 123,            0.034201,            0.036113,           0.0012701,             0.91942,             0.86995,             0.92311,             0.56334,            0.036409,            0.024095,           0.0020136,            0.001948,            0.001948,            0.001948
                 124,            0.033896,            0.034454,           0.0013077,             0.93003,             0.87436,             0.92075,              0.5614,            0.036617,            0.024077,            0.002075,            0.001882,            0.001882,            0.001882
                 125,            0.033993,            0.035212,           0.0013124,             0.92517,             0.86628,             0.91971,             0.56346,            0.036478,            0.024126,           0.0017712,            0.001816,            0.001816,            0.001816
                 126,            0.034002,            0.034866,           0.0015439,             0.92812,             0.86545,              0.9199,             0.56417,            0.036261,            0.024071,           0.0018616,             0.00175,             0.00175,             0.00175
                 127,            0.033231,            0.033392,           0.0013471,             0.93348,             0.87182,             0.91896,             0.56547,            0.036464,            0.024167,           0.0018892,            0.001684,            0.001684,            0.001684
                 128,            0.033765,            0.034388,           0.0013655,              0.9312,             0.87064,             0.91938,             0.56546,             0.03621,            0.024057,           0.0019475,            0.001618,            0.001618,            0.001618
                 129,            0.033485,             0.03445,           0.0013613,             0.91537,             0.86976,             0.91778,             0.56787,            0.036303,            0.024061,           0.0020628,            0.001552,            0.001552,            0.001552
                 130,            0.033257,            0.033686,           0.0013164,              0.9297,             0.87244,             0.92387,             0.56897,            0.036287,            0.024075,           0.0019778,            0.001486,            0.001486,            0.001486
                 131,            0.033727,            0.035562,           0.0013426,             0.91448,             0.88346,             0.92111,              0.5673,            0.036273,            0.023999,           0.0019047,             0.00142,             0.00142,             0.00142
                 132,            0.033587,            0.033564,           0.0012249,             0.93171,             0.87871,             0.92124,             0.57405,            0.036141,            0.024161,           0.0017697,            0.001354,            0.001354,            0.001354
                 133,            0.033302,            0.035363,           0.0011442,             0.91182,             0.87741,             0.92039,              0.5669,            0.036195,            0.024105,           0.0016775,            0.001288,            0.001288,            0.001288
                 134,            0.033705,            0.034457,           0.0013869,             0.91746,             0.88032,             0.92192,             0.57275,            0.036114,            0.023992,           0.0017686,            0.001222,            0.001222,            0.001222
                 135,            0.033086,            0.033553,           0.0012244,             0.92233,             0.87429,             0.92221,             0.57357,            0.036032,            0.023937,           0.0019104,            0.001156,            0.001156,            0.001156
                 136,             0.03309,            0.034302,           0.0012524,             0.91588,             0.88817,             0.92698,             0.57554,            0.036011,             0.02396,           0.0018231,             0.00109,             0.00109,             0.00109
                 137,            0.032764,            0.033898,           0.0012531,              0.9284,             0.88027,             0.92656,             0.57187,             0.03599,             0.02387,           0.0019131,            0.001024,            0.001024,            0.001024
                 138,            0.033329,            0.033829,           0.0012072,             0.92488,             0.86964,             0.92064,             0.57245,            0.036274,            0.023983,           0.0017999,            0.000958,            0.000958,            0.000958
                 139,            0.032988,            0.034109,            0.001213,             0.92852,             0.88071,             0.92626,             0.56981,            0.036274,            0.024042,            0.001833,            0.000892,            0.000892,            0.000892
                 140,            0.032525,            0.034353,           0.0010206,             0.92959,             0.88513,             0.92563,              0.5726,            0.035882,            0.023743,           0.0018694,            0.000826,            0.000826,            0.000826
                 141,            0.032863,            0.033344,           0.0011983,             0.92544,             0.88419,             0.92463,             0.57058,            0.035835,            0.023728,           0.0018726,             0.00076,             0.00076,             0.00076
                 142,            0.032365,            0.033664,           0.0010414,             0.92491,             0.87582,             0.92424,             0.57302,            0.035826,            0.023858,           0.0017626,            0.000694,            0.000694,            0.000694
                 143,            0.033193,            0.033994,           0.0011841,             0.92899,             0.87953,               0.925,             0.57381,            0.035997,            0.023783,           0.0016612,            0.000628,            0.000628,            0.000628
                 144,            0.033114,            0.034064,           0.0013551,             0.93203,             0.88034,             0.92681,             0.57252,            0.035934,            0.023765,           0.0017044,            0.000562,            0.000562,            0.000562
                 145,            0.032654,            0.034277,            0.001093,             0.93291,             0.88141,             0.92741,             0.57593,            0.035837,            0.023714,           0.0015988,            0.000496,            0.000496,            0.000496
                 146,            0.032321,            0.032285,           0.0012598,              0.9193,             0.89072,             0.92862,             0.57577,            0.035792,            0.023687,           0.0016805,             0.00043,             0.00043,             0.00043
                 147,             0.03231,            0.032486,           0.0011961,             0.92041,             0.88861,              0.9288,             0.57865,            0.035788,             0.02376,           0.0016941,            0.000364,            0.000364,            0.000364
                 148,            0.032009,            0.033159,           0.0010914,             0.92222,             0.87897,             0.92465,             0.57708,             0.03578,            0.023912,           0.0016322,            0.000298,            0.000298,            0.000298
                 149,            0.031878,            0.032752,           0.0010915,             0.92028,             0.88133,             0.92596,             0.57782,            0.035699,             0.02392,           0.0016836,            0.000232,            0.000232,            0.000232
